Capacity(%),Area,O/C,Count,LastUpdated
0,Pool Lawn,Open,0,8/19/2021 19:07
0,Cardio Equipment,Open,0,8/19/2021 19:08
4,Spa,Open,2,8/19/2021 19:07
5,Weight Equipment,Open,1,8/19/2021 19:08
0,Outdoor Volleyball,Open,0,8/19/2021 19:07
20,MAC Weight Room,Open,11,08/19/2021 07:07 PM
4,Lower Weight Room,Open,8,08/19/2021 07:07 PM
1,Pool,Open,4,08/19/2021 07:07 PM
0,Squash Court,Open,0,08/19/2021 07:08 PM
0,Pool Deck,Open,0,08/19/2021 07:07 PM
5,Racquetball Courts,Open,5,08/19/2021 07:08 PM
8,Power Training Platforms,Open,4,08/19/2021 07:07 PM
0,Pool Lawn,Open,0,08/19/2021 07:07 PM
0,Cardio Equipment,Open,0,08/19/2021 07:08 PM
4,Spa,Open,2,08/19/2021 07:07 PM
5,Weight Equipment,Open,1,08/19/2021 07:08 PM
0,Outdoor Volleyball,Open,0,08/19/2021 07:07 PM
20,MAC Weight Room,Open,11,08/19/2021 07:07 PM
4,Lower Weight Room,Open,8,08/19/2021 07:07 PM
1,Pool,Open,4,08/19/2021 07:07 PM
0,Squash Court,Open,0,08/19/2021 07:08 PM
0,Pool Deck,Open,0,08/19/2021 07:07 PM
5,Racquetball Courts,Open,5,08/19/2021 07:08 PM
8,Power Training Platforms,Open,4,08/19/2021 07:07 PM
0,Pool Lawn,Open,0,08/19/2021 07:07 PM
0,Cardio Equipment,Open,0,08/19/2021 07:08 PM
4,Spa,Open,2,08/19/2021 07:07 PM
5,Weight Equipment,Open,1,08/19/2021 07:08 PM
0,Outdoor Volleyball,Open,0,08/19/2021 07:07 PM
20,MAC Weight Room,Open,11,08/19/2021 07:07 PM
4,Lower Weight Room,Open,8,08/19/2021 07:07 PM
1,Pool,Open,4,08/19/2021 07:07 PM
0,Squash Court,Open,0,08/19/2021 07:08 PM
0,Pool Deck,Open,0,08/19/2021 07:07 PM
5,Racquetball Courts,Open,5,08/19/2021 07:08 PM
8,Power Training Platforms,Open,4,08/19/2021 07:07 PM
0,Pool Lawn,Open,0,08/19/2021 07:07 PM
0,Cardio Equipment,Open,0,08/19/2021 07:08 PM
4,Spa,Open,2,08/19/2021 07:07 PM
5,Weight Equipment,Open,1,08/19/2021 07:08 PM
0,Outdoor Volleyball,Open,0,08/19/2021 07:07 PM
20,MAC Weight Room,Open,11,08/19/2021 07:07 PM
4,Lower Weight Room,Open,8,08/19/2021 07:07 PM
1,Pool,Open,4,08/19/2021 07:07 PM
0,Squash Court,Open,0,08/19/2021 07:08 PM
0,Pool Deck,Open,0,08/19/2021 07:07 PM
5,Racquetball Courts,Open,5,08/19/2021 07:08 PM
8,Power Training Platforms,Open,4,08/19/2021 07:07 PM
0,Pool Lawn,Open,0,08/19/2021 07:07 PM
0,Cardio Equipment,Open,0,08/19/2021 07:08 PM
4,Spa,Open,2,08/19/2021 07:07 PM
5,Weight Equipment,Open,1,08/19/2021 07:08 PM
0,Outdoor Volleyball,Open,0,08/19/2021 07:07 PM
11,MAC Weight Room,Open,6,08/20/2021 12:44 PM
3,Lower Weight Room,Open,5,08/20/2021 12:44 PM
0,Pool,Open,0,08/20/2021 12:44 PM
0,Squash Court,Open,0,08/20/2021 12:45 PM
0,Pool Deck,Open,0,08/20/2021 12:44 PM
0,Racquetball Courts,Open,0,08/20/2021 12:45 PM
0,Power Training Platforms,Open,0,08/20/2021 12:44 PM
0,Pool Lawn,Open,0,08/20/2021 12:44 PM
0,Cardio Equipment,Open,0,08/20/2021 12:45 PM
0,Spa,Open,0,08/20/2021 12:44 PM
0,Weight Equipment,Open,0,08/20/2021 12:45 PM
0,Outdoor Volleyball,Open,0,08/20/2021 12:44 PM
11,MAC Weight Room,Open,6,08/20/2021 12:44 PM
3,Lower Weight Room,Open,5,08/20/2021 12:44 PM
0,Pool,Open,0,08/20/2021 12:44 PM
0,Squash Court,Open,0,08/20/2021 12:45 PM
0,Pool Deck,Open,0,08/20/2021 12:44 PM
0,Racquetball Courts,Open,0,08/20/2021 12:45 PM
0,Power Training Platforms,Open,0,08/20/2021 12:44 PM
0,Pool Lawn,Open,0,08/20/2021 12:44 PM
0,Cardio Equipment,Open,0,08/20/2021 12:45 PM
0,Spa,Open,0,08/20/2021 12:44 PM
0,Weight Equipment,Open,0,08/20/2021 12:45 PM
0,Outdoor Volleyball,Open,0,08/20/2021 12:44 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
